Taxon,counts,CommonName,tms
Montastrea faveolata,1,Orbicella annularis,"Orbicella annularis,Orbicella,Fertabacteria"
Montastrea franksi,1,Orbicella annularis,"Orbicella annularis,Orbicella,List of vulnerable invertebrates,IUCN Red List vulnerable species (Animalia)"
Moseleya latistellata,1,Moseleya (cnidarian),"Moseleya (cnidarian),List of threatened species of the Philippines,IUCN Red List vulnerable species (Animalia),List of vulnerable invertebrates"
Oulophyllia bennettae,1,Oulophyllia,"Oulophyllia,IUCN Red List near threatened species (Animalia),List of near threatened invertebrates"
Oulophyllia crispa,1,Oulophyllia crispa,"Oulophyllia crispa,Oulophyllia,List of corals of the Solomon Islands,IUCN Red List near threatened species (Animalia),List of near threatened invertebrates,List of marine cnidarians of South Africa"
Plesiastrea versipora,1,Plesiastrea versipora,"Plesiastrea versipora,Plesiastrea,King George Sound (Western Australia),Lithophaga simplex,Marine wildlife of Baa Atoll,List of corals of the Houtman Abrolhos,List of marine cnidarians of South Africa,List of marine animals of Australia (temperate waters),Chromera velia,List of least concern invertebrates"
Felidae hybrid,1,Felidae,"Felidae,Felid hybrid,Panthera hybrid,List of largest cats,Pumapard,Liger,Tigon,List of genetic hybrids,Serval,Felis"
Herpailurus yagouaroundi,1,Jaguarundi,"Jaguarundi,Gulf Coast jaguarundi,Felidae,Felinae,Cheetah,List of felids,Felid hybrid,List of endangered species in North America,Cats in the United States,Quaternary extinction event"
Leptailurus spp.,1,Dog,"Dog,American badger,Wolf,Fisher (animal),Coyote,Fox,North American river otter,Raccoon,Southern elephant seal,United States Fish and Wildlife Service list of endangered mammals and birds"
Leptailurus hybrid,1,Serval,"Serval,Felid hybrid,Savannah cat,American black bear,Caraval,Lion,Tiger,Cat,Leopard,Brown bear"
Lynx lynx,1,Eurasian lynx,"Eurasian lynx,Canada lynx,Lynx,Iberian lynx,Westland Lynx,Balkan lynx,Lynx (web browser),Bobcat,Sardinian lynx,Lynx (Rheinmetall armoured fighting vehicle)"
Prionailurus bengalensis,1,Leopard cat,"Leopard cat,Visayan leopard cat,Prionailurus,Iriomote cat,Sunda leopard cat,Bengal cat,Cat,Fishing cat,Felinae,List of cat breeds"
Fungia cyclolites,1,Cycloseris cyclolites,"Cycloseris cyclolites,Cycloseris,List of least concern invertebrates,List of corals of the Solomon Islands,List of prehistoric hexacoral genera,List of marine cnidarians of South Africa"
Fungia distorta,1,Cycloseris distorta,"Cycloseris distorta,Cycloseris,List of least concern invertebrates,French Frigate Shoals,List of marine cnidarians of South Africa,List of data deficient invertebrates"
Fungia fragilis,1,Cycloseris,"Cycloseris,List of least concern invertebrates,IUCN Red List data deficient species (Cnidaria),List of vulnerable invertebrates,List of data deficient invertebrates,IUCN Red List vulnerable species (Animalia)"
Fungia repanda,1,Lithophyllon repanda,"Lithophyllon repanda,Fungiidae,Lithophyllon,List of least concern invertebrates"
Fungia tenuis,1,Cycloseris,"Cycloseris,List of least concern invertebrates,French Frigate Shoals,Coral,IUCN Red List near threatened species (Animalia),List of marine cnidarians of South Africa,List of vulnerable invertebrates,List of near threatened invertebrates,Marine wildlife of Baa Atoll,IUCN Red List vulnerable species (Animalia)"
Herpolitha limax,1,Herpolitha,"Herpolitha,Fungiidae,Coeloplana loyai,Manra,Coral reefs of Kiribati,List of marine cnidarians of South Africa,List of least concern invertebrates"
Galago moholi,1,Mohol bushbaby,"Mohol bushbaby,Galago,Lesser bushbaby,Somali bushbaby,Northern greater galago,Senegal bushbaby,Brown greater galago,Forked tongue,Greater galago,List of primates"
Galago senegalensis,1,Senegal bushbaby,"Senegal bushbaby,Galago,Lesser bushbaby,Somali bushbaby,G. senegalensis,Senegalensis,Brown greater galago,Northern greater galago,Mohol bushbaby,List of primates of Africa"
Otolemur crassicaudatus,1,Brown greater galago,"Brown greater galago,Greater galago,Northern greater galago,Galago,Silvery greater galago,Penis,List of primates,Lorisoidea,List of primates of Africa,List of mammals of South Africa"
Phelsuma kochi,1,Phelsuma,"Phelsuma,Koch's giant day gecko,Phelsuma madagascariensis,List of reptiles in Madagascar,List of indigenous geckos of Madagascar,List of least concern reptiles"
Phelsuma lineata,1,Phelsuma lineata,"Phelsuma lineata,Phelsuma,List of indigenous geckos of Madagascar,Phelsuma dorsivittata,Phelsuma modesta,List of reptiles in Madagascar,Phelsuma modesta leiogaster,Phelsuma kely,Wildlife of Réunion,Phelsuma pusilla pusilla"
Phelsuma mutabilis,1,Phelsuma mutabilis,"Phelsuma mutabilis,Phelsuma,List of indigenous geckos of Madagascar,List of reptiles in Madagascar,List of least concern reptiles,IUCN Red List endangered species (Animalia)"
Phelsuma nigristriata,1,Phelsuma nigristriata,"Phelsuma nigristriata,Phelsuma,Pointes et plages de Saziley et Charifou,List of vulnerable reptiles,IUCN Red List vulnerable species (Animalia)"
Phelsuma parkeri,1,Phelsuma parkeri,"Phelsuma parkeri,Phelsuma,Hampton Wildman Parker,List of least concern reptiles,List of vulnerable reptiles,IUCN Red List endangered species (Animalia),List of data deficient reptiles,Pelusios,IUCN Red List vulnerable species (Animalia)"
Phelsuma pusilla,1,Phelsuma pusilla,"Phelsuma pusilla,Phelsuma,Phelsuma pusilla pusilla,Phelsuma pusilla hallmanni,List of indigenous geckos of Madagascar,List of reptiles of Africa,Harald Meier,List of reptiles in Madagascar,List of least concern reptiles,IUCN Red List of extinct species"
Phelsuma quadriocellata,1,Phelsuma quadriocellata,"Phelsuma quadriocellata,Phelsuma,List of indigenous geckos of Madagascar,Phelsuma parva,Phelsuma kely,List of reptiles in Madagascar,List of endangered reptiles,List of least concern reptiles,List of species protected by CITES Appendix II,IUCN Red List endangered species (Animalia)"
Uroplatus alluaudi,1,Uroplatus alluaudi,"Uroplatus alluaudi,Uroplatus,List of reptiles in Madagascar,Charles A. Alluaud,List of near threatened reptiles,List of vulnerable reptiles,IUCN Red List endangered species (Animalia),List of least concern reptiles,IUCN Red List vulnerable species (Animalia)"
Uroplatus giganteus,1,Giant leaf-tail gecko,"Giant leaf-tail gecko,Uroplatus,Tokay gecko,List of largest extant lizards,Uroplatus sikorae,List of reptiles in Madagascar,Uroplatus sameiti,List of vulnerable reptiles,Hemidactylus giganteus,IUCN Red List vulnerable species (Animalia)"
Uroplatus lineatus,1,Lined flat-tail gecko,"Lined flat-tail gecko,Uroplatus,List of indigenous geckos of Madagascar,List of reptiles of Africa,List of reptiles in Madagascar,Peyrieras Reptile Reserve,List of least concern reptiles,List of near threatened reptiles,IUCN Red List endangered species (Animalia),IUCN Red List vulnerable species (Animalia)"
Uroplatus pietschmanni,1,Uroplatus pietschmanni,"Uroplatus pietschmanni,Uroplatus,List of reptiles in Madagascar,List of endangered reptiles,IUCN Red List endangered species (Animalia)"
Cuora aurocapitata,1,Yellow-headed box turtle,"Yellow-headed box turtle,Asian box turtle,Pan's box turtle,Polnareff turtle,List of reptiles of China,List of species protected by CITES Appendix II,List of critically endangered reptiles,Vietnamese three-striped box turtle,List of endangered and protected species of China,IUCN Red List critically endangered species (Animalia)"
Cuora pani,1,Asian box turtle,"Asian box turtle,Pan's box turtle,Yellow-headed box turtle,Polnareff turtle,List of reptiles of China,List of critically endangered reptiles,List of endangered and protected species of China,IUCN Red List critically endangered species (Animalia),List of species protected by CITES Appendix II,Chinese pond turtle"
Mauremys japonica,1,Japanese pond turtle,"Japanese pond turtle,Chinese pond turtle,Mauremys,Chinese stripe-necked turtle,M. japonica,List of reptiles of Japan,Pond turtle,Chinese box turtle,Ryukyu black-breasted leaf turtle,List of species protected by CITES Appendix II"
Mauremys nigricans,1,Red-necked pond turtle,"Red-necked pond turtle,Mauremys,Black softshell turtle,List of species protected by CITES Appendix II,List of reptiles of China,List of endangered and protected species of China,List of endangered reptiles,IUCN Red List endangered species (Animalia),Trionychidae,Burmese peacock softshell"
Sacalia quadriocellata,1,Sacalia,"Sacalia,Four-eyed turtle,Chinese false-eyed turtle,Chinese pond turtle,Beale's eyed turtle,List of endangered reptiles,List of reptiles of China,List of species protected by CITES Appendix II,List of endangered and protected species of China,IUCN Red List endangered species (Animalia)"
Balearica regulorum,1,Grey crowned crane,"Grey crowned crane,Balearica,Crane (bird),Coat of arms of Uganda,List of national animals,Crowned crane,Ugandan kob,Black crowned crane,List of national birds,Afrikaans"
Bugeranus carunculatus,1,Wattled crane,"Wattled crane,Shoebill,Kori bustard,Wattle (anatomy),Zambezi,Grus (genus),Leersia hexandra,Angolan miombo woodlands,List of birds of South Africa,List of birds of Angola"
Heliopora coerulea,1,Blue coral,"Blue coral,Heliopora,Helioporacea,Anthozoa,Okinawa Prefecture,Coral reefs of Kiribati,List of endangered species in Pakistan,Kuroshio Current,List of species protected by CITES Appendix II,Coral reefs of Tuvalu"
Ctenosaura bakeri,1,Ctenosaura bakeri,"Ctenosaura bakeri,Ctenosaura,C. bakeri,Iguanidae,Diergaarde Blijdorp,List of species protected by CITES Appendix II,List of critically endangered reptiles,Cyclura nubila,IUCN Red List critically endangered species (Animalia),Gunther Köhler"
Ctenosaura conspicuosa,1,Ctenosaura conspicuosa,"Ctenosaura conspicuosa,Ctenosaura,Iguanidae,Ctenosaura hemilopha,San Esteban Island,List of reptiles of North America"
Ctenosaura defensor,1,Yucatán spiny-tailed iguana,"Yucatán spiny-tailed iguana,Ctenosaura pectinata,Iguanidae,Campeche spiny-tailed iguana,Desert iguana,Brachylophus,List of vulnerable reptiles,IUCN Red List vulnerable species (Animalia),Cachryx,Bothrops asper"
Ctenosaura quinquecarinata,1,Ctenosaura quinquecarinata,"Ctenosaura quinquecarinata,Ctenosaura,Ctenosaura oaxacana,Iguanidae"
Podarcis pityusensis,1,Ibiza wall lizard,"Ibiza wall lizard,Podarcis,List of reptiles of Spain,List of reptiles of Europe,Pityusic Islands,List of species protected by CITES Appendix II,IUCN Red List near threatened species (Animalia),List of near threatened reptiles,Intralocus sexual conflict,Habitats Directive"
Lanthanotus borneensis,1,Earless monitor lizard,"Earless monitor lizard,Varanidae,List of largest extant lizards,Anguimorpha,Heloderma,Squamata,Borneo lowland rain forests,Fauna of Indonesia,List of Indonesian endemic animals,List of Lacertilia families"
Chalcopsitta atra,1,Black lory,"Black lory,Chalcopsitta,Loriini,Loriinae,List of birds of Indonesia,List of endemic birds of Indonesia,List of birds of Asia,Heinrich Agathon Bernstein,List of parrots,List of birds of Papua New Guinea"
Chalcopsitta cardinalis,1,Cardinal lory,"Cardinal lory,List of parrots,Loriini,Loriinae,Eos (bird),Pseudeos,List of bird genera,List of birds of Papua New Guinea,List of birds of Asia"
Chalcopsitta sintillata,1,Yellow-streaked lory,"Yellow-streaked lory,Loriinae,Loriini"
Charmosyna placentis,1,Red-flanked lorikeet,"Red-flanked lorikeet,Charmosyna,Blue-fronted lorikeet,New Caledonian lorikeet,Loriinae,Loriini,List of birds of the Torres Strait Islands,Kalam language,Hypocharmosyna,List of parrots"
Eos reticulata,1,Blue-streaked lory,"Blue-streaked lory,Loriinae,Loriini,Eos (bird),List of Psittaciformes by population,List of birds of Indonesia,List of birds of Asia,IUCN Red List near threatened species (Animalia),List of endemic birds of Indonesia,Banda Sea Islands moist deciduous forests"
Eos rubra,1,Red lory,"Red lory,E. rubra,Phauda,List of Indonesian endemic animals,List of endemic birds of Indonesia,List of species protected by CITES Appendix I,Alopecia areata,Trivia (gastropod),List of birds of Indonesia,Isle Royale National Park"
Eos squamata,1,Violet-necked lory,"Violet-necked lory,Eos (bird),Loriinae,Loriini,List of birds of Indonesia,List of endemic birds of Indonesia,List of birds of Asia,Central pygmy spiny-tailed skink,Eonatator,Ouroboros"
Lorius garrulus,1,Chattering lory,"Chattering lory,Lorius,Mount Binaiya,Loriini,Loriinae,Rodrigues parrot,List of endemic birds of Indonesia,List of birds of Indonesia,List of birds of Asia,IUCN Red List vulnerable species (Animalia)"
Lorius lory,1,Black-capped lory,"Black-capped lory,Chattering lory,Purple-naped lory,Lorius,Yellow-bibbed lory,White-naped lory,Purple-bellied lory,Loriini,Loriinae,Black lory"
Mantella aurantiaca,1,Golden mantella,"Golden mantella,Mantella,Golden poison frog (disambiguation),List of Anuran families,Madagascar lowland forests,Golden frog,List of critically endangered amphibians,IUCN Red List critically endangered species (Animalia),Peyrieras Reptile Reserve,DierenPark Amersfoort"
Mantella betsileo,1,Brown mantella,"Brown mantella,Mantella,Blue-legged mantella,List of amphibians of Madagascar,List of least concern amphibians,List of endangered amphibians,List of vulnerable amphibians,IUCN Red List endangered species (Animalia)"
Mantella expectata,1,Blue-legged mantella,"Blue-legged mantella,Mantella,Scaphiophryne gottlebei,List of endangered amphibians,Mantellinae,Isalo National Park,Connie Deanovich,IUCN Red List endangered species (Animalia),Scaphiophryne,List of amphibians of Madagascar"
Mantella laevigata,1,Climbing mantella,"Climbing mantella,Mantella,Heather Heying,Chemical defense,IUCN Red List near threatened species (Animalia),Madagascar (TV series),List of near threatened amphibians,List of amphibians of Madagascar,List of least concern amphibians"
Mantella nigricans,1,Guibé's mantella,"Guibé's mantella,Mantella,M. nigricans,List of amphibians of Madagascar,List of least concern amphibians,List of species protected by CITES Appendix II,IUCN Red List endangered species (Animalia),IUCN Red List vulnerable species (Animalia)"
Mantella viridis,1,Green mantella,"Green mantella,Mantella,Mantella baroni,M. viridis,List of endangered amphibians,IUCN Red List endangered species (Animalia),List of amphibians of Madagascar,IUCN Red List critically endangered species (Animalia),Poisonous amphibian,List of species protected by CITES Appendix II"
Dendrogyra cylindrus,1,Pillar coral,"Pillar coral,Punta Cana,Gemmocystis,Stilt (ceramics),Stony coral tissue loss disease,Hans Lollik Island,Acanthurus coeruleus,List of the prehistoric life of Florida,Marker 32,Meandrinidae"
Meandrina maeandrites,1,Stony corals,
Hydnophora rigida,1,Hydnophora rigida,"Hydnophora rigida,Hydnophora,Canton Island,Coral reefs of Kiribati,Phoenix Islands Protected Area,List of least concern invertebrates,List of threatened species of the Philippines,List of marine cnidarians of South Africa"
Dyscophus guineti,1,Dyscophus guineti,"Dyscophus guineti,Tomato frog,Dyscophus antongilii,List of species protected by CITES Appendix II,List of amphibians of Madagascar,List of least concern amphibians"
Liocichla omeiensis,1,Bugun liocichla,"Bugun liocichla,Emei Shan liocichla,Liocichla,List of birds of China,List of species protected by CITES Appendix II,List of birds of Asia,IUCN Red List vulnerable species (Animalia),List of birds of Vietnam,List of birds of Myanmar,List of birds of Thailand"
Tauraco erythrolophus,1,Red-crested turaco,"Red-crested turaco,Tauraco,Turaco,List of national birds,Bird Kingdom,List of birds of Angola,Belfast Zoo,List of birds of Africa,Angolan Scarp savanna and woodlands,List of sequenced animal genomes"
Acanthastrea amakusensis,1,Stony corals,"List of near threatened invertebrates,IUCN Red List near threatened species (Animalia)"
Acanthastrea bowerbanki,1,Stony corals,"Homophyllia bowerbanki,IUCN Red List vulnerable species (Animalia),List of vulnerable invertebrates"
Acanthastrea echinata,1,Stony corals,"Acanthastrea echinata,Acanthastrea,Micromussa lordhowensis,List of corals of the Solomon Islands,List of corals of the Houtman Abrolhos,List of marine cnidarians of South Africa,List of least concern invertebrates,IUCN Red List vulnerable species (Animalia),List of vulnerable invertebrates"
Acanthastrea hillae,1,Stony corals,"Homophyllia bowerbanki,List of endangered species in Pakistan,Dorothy Hill,List of near threatened invertebrates,List of corals of the Houtman Abrolhos,IUCN Red List near threatened species (Animalia)"
Acanthastrea lordhowensis,1,Stony corals,"Micromussa lordhowensis,IUCN Red List near threatened species (Animalia),List of near threatened invertebrates"
Australomussa rowleyensis,1,Stony corals,"Lobophyllia rowleyensis,Lobophyllia,List of near threatened invertebrates,IUCN Red List near threatened species (Animalia),List of corals of the Houtman Abrolhos"
Blastomussa merleti,1,Stony corals,"Blastomussa merleti,Blastomussa,Pineapple coral,List of marine cnidarians of South Africa,List of corals of the Houtman Abrolhos,List of least concern invertebrates"
Lobophyllia hataii,1,Stony corals,"Lobophyllia,List of corals of the Houtman Abrolhos,List of least concern invertebrates"
Symphyllia valenciennesii,1,Stony corals,"Lobophyllia,List of marine cnidarians of South Africa,List of least concern invertebrates"
Symphyllia wilsoni,1,Stony corals,"List of corals of the Houtman Abrolhos,List of least concern invertebrates,List of marine cnidarians of South Africa,List of vulnerable invertebrates,IUCN Red List vulnerable species (Animalia),2013 in paleontology"
Manta birostris,1,Giant oceanic manta ray,"Giant oceanic manta ray,Manta ray,Reef manta ray,List of largest fish,Devil ray,Manta ray night dive,Great white shark,Devilfish,Okinawa Churaumi Aquarium,Megafauna"
Mobula japanica,1,Spinetail mobula,"Spinetail mobula,Mobula,Devil ray,Osaka Aquarium Kaiyukan,List of marine fishes of South Africa,List of near threatened fishes,List of cartilaginous fish,IUCN Red List near threatened species (Animalia),List of fishes of India,Memorandum of Understanding on the Conservation of Migratory Sharks"
Mobula mobular,1,Devil fish,"Devil fish,Mobula,Spinetail mobula,List of largest fish,Manta ray,Batoidea,Devil ray,List of fish of the Mediterranean Sea,List of threatened rays,Devilfish"
Mobula tarapacana,1,Mobula,"Mobula,Chilean devil ray,Manta ray,Devil ray,List of marine fishes of South Africa,Sphyraena viridensis,List of fishes of the Coral Sea,List of endangered fishes,List of cartilaginous fish,List of vulnerable fishes"
Galaxea astreata,1,Galaxea astreata,"Galaxea astreata,Galaxea,List of endangered species in Pakistan,List of vulnerable invertebrates,IUCN Red List vulnerable species (Animalia),List of marine cnidarians of South Africa"
Ardeotis kori,1,Kori bustard,"Kori bustard,Kori,Bustard,Ardeotis,List of largest birds,Great Indian bustard,Arabian bustard,Trumpeter swan,List of national birds,Great bustard"
Ornithoptera croesus,1,Golden birdwing,"Ornithoptera croesus,Ornithoptera,Queen Alexandra's birdwing,Ornithoptera priamus,Ornithoptera richmondia,Ornithoptera paradisea,Ornithoptera aesacus,Ornithoptera euphorion,Ornithoptera goliath,Birdwing"
Ornithoptera paradisea,1,Paradise birdwing,"Ornithoptera paradisea,Ornithoptera,Ornithoptera meridionalis,Queen Alexandra's birdwing,Ornithoptera richmondia,Ornithoptera aesacus,Fauna of New Guinea,Ornithoptera goliath,Ornithoptera priamus,Birdwing"
Ornithoptera victoriae,1,Queen Victoria's birdwing,"Ornithoptera victoriae,Ornithoptera,O. victoriae,Ornithoptera allotei,Birdwing,Queen Alexandra's birdwing,Ornithoptera paradisea,Ornithoptera priamus,Ornithoptera richmondia,Ornithoptera aesacus"
Trogonoptera brookiana,1,Rajah Brooke's birdwing,"Trogonoptera brookiana,Trogonoptera,Trogonoptera trojana,Birdwing,James Brooke,Aristolochia,Perdana Botanical Gardens,Rajah (disambiguation),Parti Aspirasi Rakyat Sarawak,Queen Alexandra's birdwing"
Troides aeacus,1,Golden birdwing,"Troides aeacus,Troides magellanus,Troides rhadamantus,Troides dohertyi,Troides,Troides minos,Troides prattorum,Birdwing,Troides helena,List of butterflies of India (Papilionidae)"
Troides andromache,1,Borneo birdwing,"Troides andromache,Troides,Troides amphrysus,Troides miranda,Troides cuneifera,Troides aeacus,Troides minos,Troides helena,Troides rhadamantus,Birdwing"
Troides cuneifera,1,Mountain birdwing,"Troides cuneifera,Troides,Troides andromache,Troides miranda,Troides amphrysus,Troides helena,Troides darsius,Troides aeacus,Troides minos,Queen Alexandra's birdwing"
Troides plato,1,Silver birdwing,"Troides plato,Troides,Troides darsius,Troides riedeli,Troides haliphron,Troides criton,Troides staudingeri,Troides aeacus,Troides vandepolli,Troides rhadamantus"
Cicinnurus regius,1,King bird-of-paradise,"King bird-of-paradise,Bird-of-paradise,Greater lophorina,Corvides,List of birds of Indonesia,Lyre-tailed king bird-of-paradise,List of birds of Papua New Guinea,List of birds of Asia,List of hybrid birds-of-paradise,Ali Wallace (naturalist)"
Mycedium spp.,1,Stony corals,"Pectiniidae,List of threatened species of the Philippines,St. Brandon"
Mycedium robokaki,1,Stony corals,List of least concern invertebrates
Pectinia paeonia,1,Stony corals,"Pectinia,IUCN Red List near threatened species (Animalia),List of near threatened invertebrates"
Pavo muticus,1,Green peafowl,"Green peafowl,Pavo (bird),Indian peafowl,Peafowl,Galliformes,List of largest birds,List of endangered animals in India,Changeable hawk-eagle,Great bustard,Cardamom Mountains"
Phoenicopterus ruber,1,American flamingo,"American flamingo,Phoenicopterus,Greater flamingo,Flamingo,List of national animals,Chilean flamingo,List of national birds,Lake Enriquillo,Flamenco Beach,Quaternary extinction event"
Pithecia pithecia,1,White-faced saki,"White-faced saki,Saki monkey,List of primates,Pitheciidae,Monk saki,Golden-faced saki,List of New World monkey species,Canaima National Park,List of mammals of South America,Equatorial saki"
Pocillopora damicornis,1,Pocillopora damicornis,"Pocillopora damicornis,Pocillopora,Anthozoa,Pocillopora verrucosa,Vibrio coralliilyticus,TEX9,Pocillopora elegans,Winogradskyella pocilloporae,French Frigate Shoals,Octocrylene"
Seriatopora hystrix,1,Seriatopora hystrix,"Seriatopora hystrix,Seriatopora,Seriatopora caliendrum,Seriatopora aculeata,Scleractinia,Coral bleaching,Ove Hoegh-Guldberg (biologist),List of marine aquarium invertebrate species,List of the prehistoric life of Hawaii,Coelastrea aspera"
Podocnemis erythrocephala,1,Red-headed Amazon River turtle,"Red-headed Amazon River turtle,Podocnemis,Yellow-spotted river turtle,Podocnemididae,Pleurodira,Mata mata,Eastern long-necked turtle,Stupendemys,Arrau turtle,Magdalena River turtle"
Alveopora gigas,1,Stony corals,"Alveopora,A. gigas,List of corals of the Houtman Abrolhos,IUCN Red List vulnerable species (Animalia),List of vulnerable invertebrates,List of the prehistoric life of Florida,IUCN Red List near threatened species (Animalia),Coral reefs of Kiribati,IUCN Red List endangered species (Animalia),List of the Cenozoic life of Florida"
Porites cylindrica,1,Stony corals,"Porites cylindrica,Porites,Hump coral,Coral reefs of Kiribati,Taeniamia zosterophora,List of near threatened invertebrates,Electrified reef,IUCN Red List data deficient species (Cnidaria),Andrea Grottoli,IUCN Red List near threatened species (Animalia)"
Porites lobata,1,Stony corals,"Porites lobata,Porites,French Frigate Shoals,Porites lutea,Porites compressa,Alpheus deuteropus,List of endangered species in Pakistan,Iliana Baums,Montipora capitata,Berthellina citrina"
Porites lutea,1,Stony corals,"Porites lutea,Porites,Coral,Poritiphilus,P. lutea,Coral reefs of Kiribati,Enderbury Island,Rawaki,List of corals of the Solomon Islands,List of least concern invertebrates"
Agapornis taranta,1,Black-winged lovebird,"Black-winged lovebird,Lovebird,Taranta,Agapornithinae,Talking bird,Awash National Park,List of birds of Ethiopia,List of birds of Africa,Guassa Community Conservation Area,List of birds of Eritrea"
Amazona ventralis,1,Hispaniolan amazon,"Hispaniolan amazon,Puerto Rican amazon,List of amazon parrots,Parrot,Pico Duarte,Androglossini,Los Haitises National Park,List of Psittaciformes by population,Psittacus,List of Latin and Greek words commonly used in systematic names"
Amazona xantholora,1,Yucatan amazon,"Yucatan amazon,List of amazon parrots,Amazon parrot,List of Psittaciformes by population,Sian Kaʼan Biosphere Reserve,Androglossini,Blue-winged amazon,List of birds of Mexico,List of birds of North America,Yucatán moist forests"
Aratinga acuticaudata,1,Blue-crowned parakeet,"Blue-crowned parakeet,Melvin Alvah Traylor Jr."
Aratinga cactorum,1,Caatinga parakeet,"Caatinga parakeet,Arini (tribe),Eupsittula,List of parrots,Brumado,List of birds of Brazil,List of birds of South America,List of introduced species,List of birds of Paraguay,List of birds of Argentina"
Aratinga jandaya,1,Jandaya parakeet,"Jandaya parakeet,Aratinga,Sun parakeet,Nanday parakeet,Arini (tribe),Birds of Eden,List of birds of Brazil,List of birds of South America,Carolina parakeet,List of Brazilian state birds"
Aratinga leucophthalma,1,White-eyed parakeet,"White-eyed parakeet,Finsch's parakeet,Tapiche Reserve,List of birds of Brazil,List of birds of South America,List of birds of Peru,List of birds of Bolivia"
Aratinga pertinax,1,Brown-throated parakeet,"Brown-throated parakeet,Conure,Arikok National Park,List of extinct bird species since 1500,Caphys bilineata,Sinú River,Arini (tribe),Fauna of Barbados,Eupsittula,San Esteban National Park"
Brotogeris chrysoptera,1,Brotogeris,"Brotogeris,Golden-winged parakeet,Parrot,List of birds of Brazil,List of birds of South America,List of birds of Guyana,List of birds of Bolivia,List of birds of Venezuela,List of birds of French Guiana,List of birds of Suriname"
Coracopsis vasa,1,Greater vasa parrot,"Greater vasa parrot,Vasa parrot,Lesser vasa parrot,Seychelles black parrot,Mascarene parrot,Psittrichasiidae,Psittacinae,Comoros black parrot,List of bird genera,List of parrots"
Cyanoramphus malherbi,1,Malherbe's parakeet,"Malherbe's parakeet,Cyanoramphus,Kākāriki,Yellow-crowned parakeet,Broad-tailed parrot,Platycercinae,Parrots of New Zealand,Nelepsittacus,List of Psittaciformes by population,List of birds of New Zealand"
Forpus passerinus,1,Forpus,"Forpus,Green-rumped parrotlet,Parrotlet,Name,Bird,Turquoise-winged parrotlet,Cobalt-rumped parrotlet,List of animals by number of neurons,List of birds of Brazil,List of birds of Barbados"
Lathamus discolor,1,Swift parrot,"Swift parrot,Parrot,Tasmania,Platycercinae,Acacia pycnantha,Broad-tailed parrot,Yellow wattlebird,Freycinet National Park,Southeast Australia temperate savanna,List of birds of Australia"
Nandayus nenday,1,Nanday parakeet,"Nanday parakeet,Aratinga,Carolina parakeet,Feral parrot,Birds of Eden,Conure,Seaview Wildlife Encounter"
Neophema elegans,1,Elegant parrot,"Elegant parrot,Neophema,Platycercinae,Pezoporini,List of birds of Australia,List of birds of Victoria, Australia,List of birds of Western Australia,Broad-tailed parrot,List of birds of Victoria,List of birds of South Australia"
Nestor notabilis,1,Kea,"Kea,Nestor (genus),New Zealand parrot,Pittosporum,Parrot,Cryptic crossword,Victoria Forest Park,Parrots of New Zealand,Nestoridae,Kākāpō"
Northiella haematogaster,1,Eastern bluebonnet,"Eastern bluebonnet,Naretha bluebonnet,Bluebonnet (bird),Platycercinae,Broad-tailed parrot,List of parrots,Black falcon,List of birds of Australia,List of birds of Victoria, Australia,List of birds of Queensland"
Pionus chalcopterus,1,Pionus,"Pionus,Bronze-winged parrot,List of birds of South America,Androglossini,List of birds of Colombia,List of birds of Peru,List of birds of Ecuador,List of birds of Venezuela,Tumbes–Piura dry forests,List of parrots"
Pionus maximiliani,1,Pionus,"Pionus,Scaly-headed parrot,Feral parrot,Orange-winged amazon,Birds of Eden,Androglossini,List of birds of Brazil,List of birds of South America,List of birds of Argentina,List of birds of Bolivia"
Pionus senilis,1,Pionus,"Pionus,White-crowned parrot,List of birds of Costa Rica,List of birds of Mexico,Androglossini,List of Psittaciformes by population,List of birds of North America,List of birds of Panama,Pentaclethra macroloba,Veracruz montane forests"
Platycercus caledonicus,1,Green rosella,"Green rosella,Rosella,Tasmania,Platycercinae,Broad-tailed parrot,List of birds of Australia,List of birds of Tasmania,Tasmanian temperate forests,List of birds of King Island (Tasmania),Geography of Tasmania"
Platycercus icterotis,1,Western rosella,"Western rosella,Rosella,Platycercinae,Red-capped parrot,Leucopogon obovatus,Broad-tailed parrot,Coenraad Jacob Temminck,List of domesticated animals,List of birds of Australia,Edward Smith-Stanley, 13th Earl of Derby"
Poicephalus robustus,1,Cape parrot,"Cape parrot,Poicephalus,Brown-necked parrot,P. robustus,Niam-Niam parrot,List of birds of South Africa,Karkloof Forest,List of birds of Angola,List of birds of Africa,List of birds of Nigeria"
Psittacula calthorpae,1,Emerald-collared parakeet,
Psittacula roseata,1,Blossom-headed parakeet,"Blossom-headed parakeet,Plum-headed parakeet,Psittacula,Talking bird,Psittaculini,Psittaculinae,List of birds of China,Haemoproteus,List of birds of India,List of birds of Goa"
Purpureicephalus spurius,1,Red-capped parrot,"Red-capped parrot,Pileated parrot,Platycercinae,Broad-tailed parrot,Eimeria,Corymbia calophylla,List of birds of Australia,Banksia grandis,King parrot,List of birds of Queensland"
